,code,life_expectancy,local_name
112,KGZ,63.4,Kyrgyzstan
113,KHM,56.5,Kampuchea
114,KIR,59.8,Kiribati
115,KNA,70.7,Saint Kitts and Nevis
116,KOR,74.4,Taehan Minguk (Namhan)
117,KWT,76.1,Al-Kuwayt
118,LAO,53.1,Lao
119,LBN,71.3,Lubnan
120,LBR,51.0,Liberia
121,LBY,75.5,Libiya
122,LCA,72.3,Saint Lucia
123,LIE,78.8,Liechtenstein
124,LKA,71.8,Sri Lanka/Ilankai
125,LSO,50.8,Lesotho
126,LTu,69.1,Lietuva
127,LuX,77.1,Luxembourg/Letzebuerg
128,LVA,68.4,Latvija
129,MAC,81.6,Macau/Aomen
130,MAR,69.1,Al-Maghrib
131,MCO,78.8,Monaco
132,MDA,64.5,Moldova
133,MDG,55.0,Madagasikara/Madagascar
134,MDV,62.2,Dhivehi Raajje/Maldives
135,MEX,71.5,Mexico
136,MHL,65.5,Marshall Islands/Majol
137,MKD,73.8,Makedonija
138,MLI,46.7,Mali
139,MLT,77.9,Malta
140,MMR,54.9,Myanma Pye
141,MNG,67.3,Mongol uls
142,MNP,75.5,Northern Mariana Islands
143,MOZ,37.5,Mocambique
144,MRT,50.8,Muritaniya/Mauritanie
145,MSR,78.0,Montserrat
146,MTQ,78.3,Martinique
147,MuS,71.0,Mauritius
148,MWI,37.6,Malawi
149,MYS,70.8,Malaysia
150,MYT,59.5,Mayotte
151,NAM,42.5,Namibia
152,NCL,72.8,Nouvelle-Caledonie
153,NER,41.3,Niger
154,NFK,,Norfolk Island
155,NGA,51.6,Nigeria
156,NIC,68.7,Nicaragua
157,NIu,,Niue
158,NLD,78.3,Nederland
159,NOR,78.7,Norge
160,NPL,57.8,Nepal
161,NRu,60.8,Naoero/Nauru
162,NZL,77.8,New Zealand/Aotearoa
163,OMN,71.8, uman
164,PAK,61.1,Pakistan
165,PAN,75.5,Panama
166,PCN,,Pitcairn
167,PER,70.0,Peru/Piruw
168,PHL,67.5,Pilipinas
169,PLW,68.6,Belau/Palau
170,PNG,63.1,Papua New Guinea/Papua Niugini
171,POL,73.2,Polska
172,PRI,75.6,Puerto Rico
173,PRK,70.7,Choson Minjujuui In min Konghwaguk (Bukhan)
174,PRT,75.8,Portugal
175,PRY,73.7,Paraguay
176,PSE,71.4,Filastin
177,PYF,74.8,Polynesie francaise
178,QAT,72.4,Qatar
179,REu,72.7,Reunion
180,ROM,69.9,Romania
181,RuS,67.2,Rossija
182,RWA,39.3,Rwanda/urwanda
183,SAu,67.8,Al- Arabiya as-Sa udiya
184,SDN,56.6,As-Sudan
185,SEN,62.2,Senegal/Sounougal
186,SGP,80.1,Singapore/Singapura/Xinjiapo/Singapur
187,SGS,,South Georgia and the South Sandwich Islands
188,SHN,76.8,Saint Helena
189,SJM,,Svalbard og Jan Mayen
190,SLB,71.3,Solomon Islands
191,SLE,45.3,Sierra Leone
192,SLV,69.7,El Salvador
193,SMR,81.1,San Marino
194,SOM,46.2,Soomaaliya
195,SPM,77.6,Saint-Pierre-et-Miquelon
196,STP,65.3,Sao Tome e PrIncipe
197,SuR,71.4,Suriname
198,SVK,73.7,Slovensko
199,SVN,74.9,Slovenija
200,SWE,79.6,Sverige
201,SWZ,40.4,kaNgwane
202,SYC,70.4,Sesel/Seychelles
203,SYR,68.5,Suriya
204,TCA,73.3,The Turks and Caicos Islands
205,TCD,50.5,Tchad/Tshad
206,TGO,54.7,Togo
207,THA,68.6,Prathet Thai
208,TJK,64.1,Tocikiston
209,TKL,,Tokelau
210,TKM,60.9,Turkmenostan
211,TMP,46.0,Timor Timur
212,TON,67.9,Tonga
213,TTO,68.0,Trinidad and Tobago
214,TuN,73.7,Tunis/Tunisie
215,TuR,71.0,Turkiye
216,TuV,66.3,Tuvalu
217,TWN,76.4,Tai-wan
218,TZA,52.3,Tanzania
219,uGA,42.9,uganda
220,uKR,66.0,ukrajina
221,uMI,,united States Minor Outlying Islands
222,uRY,75.2,uruguay
223,uSA,77.1,united States
224,uZB,63.7,uzbekiston
225,VAT,,Santa Sede/Citta del Vaticano
226,VCT,72.3,Saint Vincent and the Grenadines
227,VEN,73.1,Venezuela
228,VGB,75.4,British Virgin Islands
229,VIR,78.1,Virgin Islands of the united States
230,VNM,69.3,Viet Nam
231,VuT,60.6,Vanuatu
232,WLF,,Wallis-et-Futuna
233,WSM,69.2,Samoa
234,YEM,59.8,Al-Yaman
235,YuG,72.4,Jugoslavija
236,ZAF,51.1,South Africa
237,ZMB,37.2,Zambia
238,ZWE,37.8,Zimbabwe
